title,url
"BRB 2019 | 9. Spieltag - Freestyle - Finale - Desperados vs DeeLah","https://www.youtube.com/watch?v=AFiV4-UDk4Q"
"BRB 2019 | 9. Spieltag - Freestyle - Halbfinale (Desperados vs Natif / DXXDSTXCK vs DeeLah)","https://www.youtube.com/watch?v=5FgH5t2vqgI"
"BRB 2019 | 9. Spieltag - Freestyle - 4tel w/ DXXDSTXCK, Ryko-J, DeeLah, FALK, Natif, Desperados uvm","https://www.youtube.com/watch?v=PHAc3PlJDeM"
"BRB 2019 | 9. Spieltag - Freestyle - 8tel (2/2) w/ Zeptah, Ryko-J, FALK, DXXDSTXCK, Leanders uvm","https://www.youtube.com/watch?v=VxZ4HxELXa0"
"BRB 2019 | 9. Spieltag - Freestyle - 8tel (1/2) w/ Natif, DeeLah, Desperados, Highdemann uvm","https://www.youtube.com/watch?v=Lfm5IXl0nhA"
"BRB 2019 | 9. Spieltag - Skilla199 vs Shaolum (On-Beat-Battle)","https://www.youtube.com/watch?v=sGLxo-c548s"
"BRB 2019 | Nachspielzeit - Event-Trailer (w/ Brian Damage, Robscure, FALK, Flakit, Desperados uvm)","https://www.youtube.com/watch?v=txeU8FH84yg"
"BRB 2019 | 8. Spieltag - Freestyle - Finale - Kato vs Notyzze","https://www.youtube.com/watch?v=0QlThJ5un1M"
"BRB 2019 | 8. Spieltag - Freestyle - Halbfinale & Platz 3 (w/ Notyzze, DXXDSTXCK, Kato & Vyrus)","https://www.youtube.com/watch?v=PGthKX5zuIw"
"BRB 2019 | 8. Spieltag - Freestyle - 4tel (2/2) (w/ DeeLah, Kato, Notyzze, Vyrus, Eynak & Natif)","https://www.youtube.com/watch?v=TLt1sQ3vVkg"
"BRB 2019 | 10. Spieltag - PPV-Trailer (w/ Kato, T-Way, Merlin, Eynak, DXXDSTXCK, Leonidas uvm.)","https://www.youtube.com/watch?v=J5r7gXXGoUY"
"BRB 2019 | 8. Spieltag - Freestyle - 4tel (1/2) - Nimeon vs DXXDSTXCK","https://www.youtube.com/watch?v=hcVUgufpDJM"
"BRB 2019 | 8. Spieltag - Freestyle - 8tel (2/2) w/ Eynak, Kato, NCNL Gee, Renetixx, Vyrus uvm","https://www.youtube.com/watch?v=HaOIZujv9MY"
"BRB 2019 | 8. Spieltag - Freestyle - 8tel (1/2) w/ DXXDSTXCK, DeeLah, Notyzze, Nimeon, Barracuda uvm","https://www.youtube.com/watch?v=GXi0gYdOG5o"
"BRB 2019 | 8. Spieltag - Flakit vs Nimeon","https://www.youtube.com/watch?v=vlqH6LWrGnY"
"DEUTSCHER RAP VON HEUTE","https://www.youtube.com/watch?v=vKGlt5KBBTM"
"BRB 2019 | 8. Spieltag - Barney Stinson (Bonus)","https://www.youtube.com/watch?v=baG4xxOk6FM"
"BRB 2019 | 8. Spieltag - Highdemann vs DeeLah (On-Beat-Battle)","https://www.youtube.com/watch?v=rlkzyHZi0nE"
"BRB 2019 | 8. Spieltag - TD1 vs Little Sedo","https://www.youtube.com/watch?v=kAcfe0ZlW_c"
"BRB 2019 | 8. Spieltag - Renetixx vs Steel (On-Beat-Battle)","https://www.youtube.com/watch?v=6e0TWRlT858"
"BRB 2019 | 8. Spieltag - NCNL Gee vs Continue","https://www.youtube.com/watch?v=bEMcqU7_1WU"
"BRB 2018 | XMAS SPECIAL 2018 - Shaolum vs Kato","https://www.youtube.com/watch?v=FR5lgkmrI64"
"BRB 2019 | 9. Spieltag 2019 - PPV-Trailer","https://www.youtube.com/watch?v=XCMpkZYKgKQ"
"BRB 2018 | XMAS SPECIAL 2018 - Bonus-Battle - Gier vs Notyzze (Freestyle)","https://www.youtube.com/watch?v=zEhu6j71FsI"
"BRB 2018 | XMAS SPECIAL 2018 - Freestyle - Finale - FourSeven vs Notyzze","https://www.youtube.com/watch?v=mD_ZhXKw3GI"
"BRB 2018 | XMAS SPECIAL 2018 - Freestyle - Halbfinale (FourSeven, Mave, Notyzze, Vyrus)","https://www.youtube.com/watch?v=qKTWb6zIjWM"
"BRB 2018 | XMAS SPECIAL 2018 - Freestyle - 4tel (w/ FourSeven, DeeLah, Vyrus, Mave uvm)","https://www.youtube.com/watch?v=OU4gKJK_Eek"
"BRB 2018 | XMAS SPECIAL 2018 - Freestyle - 8tel Part 2 (w/ DeeLah, Mave, Eynak, TripleBeat uvm)","https://www.youtube.com/watch?v=RmgaxTafaO0"
"BRB 2018 | XMAS SPECIAL 2018 - Freestyle - 8tel Part 1 (w/ Nimeon, Notyzze, Memo, Zeptah, Vyrus uvm)","https://www.youtube.com/watch?v=WiiNyrva6sk"
